No., BCV ,Position,Player,Team, Price , Weighted minutes , Weighted UPPM , PPG - longer term ,Fixture ratio,5,6,7,8,9,10,11,12
111, 0.15 ,M,Buonanotte,LEI, 5.0 , 32.00 , 0.042 , 1.35 ,101%, 1.45 , 0.94 , 1.48 , 1.52 , 1.48 , 1.55 , 1.24 , 1.37 
112, 0.16 ,M,Skipp,LEI, 4.9 , 65.00 , 0.023 , 1.52 ,101%, 1.64 , 1.06 , 1.67 , 1.71 , 1.67 , 1.75 , 1.39 , 1.54 
113, (1.00),M,0,LIV, 100.0 , -   , -   , -   ,98%, -   , -   , -   , -   , -   , -   , -   , -   
114, (1.00),M,0,LIV, 100.0 , -   , -   , -   ,98%, -   , -   , -   , -   , -   , -   , -   , -   
115, 0.09 ,M,Elliott,LIV, 5.2 , 6.14 , 0.055 , 0.99 ,98%, -   , -   , -   , 0.50 , 0.69 , 1.04 , 1.05 , 1.11 
116, 0.12 ,M,Endo,LIV, 4.9 , 24.00 , 0.033 , 0.79 ,98%, 0.87 , 0.79 , 0.74 , 0.81 , 0.55 , 0.84 , 0.85 , 0.89 
117, 0.34 ,M,Mac Allister,LIV, 6.4 , 82.00 , 0.043 , 3.53 ,98%, 3.86 , 3.49 , 3.29 , 3.58 , 2.46 , 3.72 , 3.76 , 3.96 
118, 0.33 ,M,Szoboszlai,LIV, 6.5 , 73.50 , 0.048 , 3.51 ,98%, 3.83 , 3.47 , 3.27 , 3.55 , 2.44 , 3.70 , 3.74 , 3.93 
119, 0.11 ,M,Jones (Curtis),LIV, 5.3 , 19.00 , 0.038 , 0.72 ,98%, 0.79 , 0.71 , 0.67 , 0.73 , 0.50 , 0.76 , 0.77 , 0.81 
120, 0.16 ,M,Gravenberch,LIV, 5.0 , 57.58 , 0.030 , 1.69 ,98%, 2.08 , 1.67 , 1.58 , 1.72 , 1.18 , 1.79 , 1.80 , 1.90 
121, 0.38 ,M,Diogo Jota,LIV, 7.6 , 58.50 , 0.073 , 4.26 ,98%, 4.66 , 4.22 , 3.98 , 4.32 , 2.97 , 4.50 , 4.55 , 4.78 
122, 0.09 ,M,Chiesa,LIV, 7.0 , 19.75 , 0.051 , 1.12 ,98%, 0.67 , 1.11 , 1.05 , 1.14 , 0.78 , 1.18 , 1.20 , 1.26 
123, (1.00),M,0,LIV, 100.0 , -   , -   , -   ,98%, -   , -   , -   , -   , -   , -   , -   , -   
124, 0.50 ,M,Salah,LIV, 12.7 , 83.46 , 0.084 , 6.97 ,98%, 7.68 , 6.89 , 6.51 , 7.07 , 4.85 , 7.36 , 7.43 , 7.82 
125, 0.37 ,M,Díaz,LIV, 7.7 , 64.00 , 0.066 , 4.22 ,98%, 4.62 , 4.18 , 3.94 , 4.28 , 2.94 , 4.46 , 4.50 , 4.74 
126, 0.23 ,M,Gundogan,MCI, 6.5 , 62.00 , 0.047 , 2.92 ,97%, 2.35 , 2.63 , 3.18 , 2.89 , 3.68 , 2.80 , 2.69 , 3.01 
127, 0.21 ,M,Bernardo Silva,MCI, 6.6 , 56.00 , 0.050 , 2.80 ,97%, 2.25 , 2.52 , 3.04 , 2.77 , 3.52 , 2.68 , 2.57 , 2.88 
128, 0.18 ,M,Sávio,MCI, 6.5 , 47.25 , 0.055 , 2.47 ,97%, 2.43 , 2.22 , 2.69 , 2.45 , 3.11 , 2.36 , 2.27 , 2.55 
129, 0.20 ,M,Grealish,MCI, 6.4 , 53.00 , 0.050 , 2.67 ,97%, 2.14 , 2.40 , 2.90 , 2.64 , 3.36 , 2.55 , 2.45 , 2.75 
130, 0.12 ,M,Kovacic,MCI, 5.5 , 29.00 , 0.037 , 1.08 ,97%, 0.87 , 0.97 , 1.17 , 1.07 , 1.36 , 1.03 , 0.99 , 1.11 
